Tanggal,Inflow (m/s),Outflow(m/s),Curah Hujan (mm)
1/1/2021,106.15,0.00,1.6
1/2/2021,104.53,0.00,3.5
1/3/2021,29.17,0.00,0
1/4/2021,44.03,0.00,2.3
1/5/2021,48.07,4.32,8
1/6/2021,71.51,0.00,8888
1/7/2021,64.15,6.53,0
1/8/2021,67.52,8.92,1
1/9/2021,28.10,0.00,43.5
1/10/2021,11.54,8.37,7.7
1/11/2021,207.73,11.15,3.3
1/12/2021,62.95,0.00,0.3
1/13/2021,20.03,0.00,6.5
1/14/2021,72.61,3.91,8.8
1/15/2021,12.03,8.61,0.5
1/16/2021,16.74,0.00,8888
1/17/2021,53.05,10.63,2
1/18/2021,31.14,0.00,19.2
1/19/2021,28.82,0.00,57.8
1/20/2021,28.94,8.72,7.8
1/21/2021,21.15,0.00,0
1/22/2021,0.00,0.00,10.4
1/23/2021,197.75,0.00,10.6
1/24/2021,25.64,0.00,0
1/25/2021,151.33,0.00,5.2
1/26/2021,74.61,0.00,0
1/27/2021,97.63,0.00,12
1/28/2021,148.75,0.00,10.2
1/29/2021,105.32,0.00,8.7
1/30/2021,36.95,0.00,16.9
1/31/2021,32.47,0.00,24.9
2/1/2021,32.60,0.00,12.7
2/2/2021,23.36,0.00,6.7
2/3/2021,18.74,6.84,5
2/4/2021,86.94,8.75,71
2/5/2021,22.96,5.44,29
2/6/2021,10.18,0.00,173.5
2/7/2021,38.04,0.00,42.1
2/8/2021,28.64,0.00,41.1
2/9/2021,4.78,0.00,33.7
2/10/2021,23.95,0.00,6.2
2/11/2021,125.61,0.00,4
2/12/2021,107.69,0.00,20.6
2/13/2021,521.56,0.00,10.2
2/14/2021,26.06,0.00,0
2/15/2021,226.95,0.00,16.4
2/16/2021,85.76,0.00,5.5
2/17/2021,53.97,0.00,5.2
2/18/2021,152.61,0.00,0
2/19/2021,99.28,0.00,4.2
2/20/2021,27.74,0.00,18.9
2/21/2021,22.25,0.00,1.4
2/22/2021,22.29,8.94,1
2/23/2021,8.94,7.73,0.8
2/24/2021,46.85,6.35,66.5
2/25/2021,40.00,0.00,62.9
2/26/2021,33.75,11.26,54.4
2/27/2021,67.74,17.52,0.2
2/28/2021,40.19,60.00,1
3/1/2021,31.67,60.00,0.3
3/2/2021,14.82,33.98,0
3/3/2021,79.16,37.92,0
3/4/2021,0.00,17.71,0
3/5/2021,79.91,31.00,4.5
3/6/2021,8.34,60.00,0
3/7/2021,37.39,35.03,0
3/8/2021,80.31,53.59,13.4
3/9/2021,87.66,58.50,8.4
3/10/2021,68.75,60.00,2.3
3/11/2021,57.02,40.02,0
3/12/2021,34.38,40.00,0
3/13/2021,90.87,53.52,1.7
3/14/2021,70.53,60.00,20
3/15/2021,31.67,60.00,4
3/16/2021,26.10,55.32,3
3/17/2021,66.61,48.82,0.3
3/18/2021,156.65,58.08,8888
3/19/2021,46.68,60.05,1.8
3/20/2021,97.15,60.05,0
3/21/2021,50.18,60.00,0
3/22/2021,44.61,60.00,19.3
3/23/2021,67.37,60.00,0
3/24/2021,67.42,60.00,0
3/25/2021,90.00,60.00,0
3/26/2021,88.23,60.00,6.5
3/27/2021,48.70,60.03,0
3/28/2021,37.47,46.67,8888
3/29/2021,46.67,40.00,18.5
3/30/2021,40.00,40.00,13.5
3/31/2021,28.73,37.50,4.2
4/1/2021,20.62,11.20,20
4/2/2021,56.27,11.04,0
4/3/2021,39.30,15.98,0
4/4/2021,10.33,30.00,0
4/5/2021,18.69,30.00,0
4/6/2021,13.06,9.78,3
4/7/2021,4.14,9.80,8
4/8/2021,32.38,18.77,0.5
4/9/2021,69.75,30.00,8.5
4/10/2021,24.32,30.00,0
4/11/2021,18.66,21.61,0
4/12/2021,32.95,0.00,17
4/13/2021,17.03,8.13,3.4
4/14/2021,82.24,45.15,0
4/15/2021,22.29,54.00,4.7
4/16/2021,65.43,55.00,0
4/17/2021,116.74,55.00,
4/18/2021,0.00,55.00,2
4/19/2021,24.30,32.12,15.3
4/20/2021,15.17,13.18,12.6
4/21/2021,7.54,17.08,0
4/22/2021,0.17,42.99,0
4/23/2021,3.62,51.70,0
4/24/2021,0.00,55.00,0
4/25/2021,0.00,48.97,30.4
4/26/2021,10.17,1.92,0
4/27/2021,8.89,0.00,0
4/28/2021,16.87,0.00,6.3
4/29/2021,5.99,11.76,0
4/30/2021,12.98,55.00,0
5/1/2021,11.33,55.03,
5/2/2021,0.30,55.10,0
5/3/2021,11.66,38.03,0
5/4/2021,11.20,55.00,0
5/5/2021,6.87,55.00,1.5
5/6/2021,23.04,30.89,29
5/7/2021,9.64,30.00,0.5
5/8/2021,24.69,45.88,0
5/9/2021,19.39,30.00,0.3
5/10/2021,8.86,48.14,0
5/11/2021,0.00,53.11,0
5/12/2021,2.86,50.00,3.9
5/13/2021,0.00,50.00,0
5/14/2021,0.00,50.00,0
5/15/2021,0.00,50.00,0
5/16/2021,0.00,50.00,0.4
5/17/2021,0.00,52.25,0
5/18/2021,27.06,48.98,79.3
5/19/2021,22.78,55.00,0
5/20/2021,15.22,55.00,1
5/21/2021,25.28,55.50,41
5/22/2021,29.00,55.50,0
5/23/2021,0.00,38.51,8888
5/24/2021,27.60,32.96,0
5/25/2021,13.46,18.18,0
5/26/2021,28.06,15.34,0
5/27/2021,8.09,4.04,0
5/28/2021,5.42,0.00,0
5/29/2021,0.00,0.00,0
5/30/2021,7.82,0.06,48
5/31/2021,0.00,18.69,8888
6/1/2021,15.89,44.81,0
6/2/2021,16.03,15.19,0.5
6/3/2021,5.61,15.49,0
6/4/2021,0.00,55.00,0
6/5/2021,0.00,21.16,0
6/6/2021,6.96,21.89,
6/7/2021,0.00,56.00,0.2
6/8/2021,0.00,42.56,0
6/9/2021,19.23,7.71,0
6/10/2021,7.71,10.16,3.6
6/11/2021,0.85,10.13,13.5
6/12/2021,0.83,0.22,0
6/13/2021,30.99,9.83,0
6/14/2021,5.17,17.38,0
6/15/2021,8.07,10.15,0
6/16/2021,19.46,5.89,0
6/17/2021,5.89,0.47,
6/18/2021,9.80,6.35,8888
6/19/2021,39.06,0.00,0.5
6/20/2021,37.54,0.00,13.3
6/21/2021,14.12,0.00,26.9
6/22/2021,18.86,0.00,1.1
6/23/2021,23.64,0.00,9
6/24/2021,28.45,0.00,5
6/25/2021,33.31,0.00,42.5
6/26/2021,0.00,0.00,0
6/27/2021,0.00,0.00,0
6/28/2021,23.87,0.00,0.3
6/29/2021,14.35,0.00,18
6/30/2021,4.79,0.00,0
7/1/2021,38.42,0.00,0
7/2/2021,0.00,0.00,0
7/3/2021,9.63,0.00,0
7/4/2021,0.00,0.00,0
7/5/2021,0.00,0.00,0
7/6/2021,0.00,11.47,0
7/7/2021,6.65,0.00,0
7/8/2021,0.00,11.08,0
7/9/2021,1.45,5.97,0
7/10/2021,15.60,9.20,0
7/11/2021,0.00,7.71,0
7/12/2021,7.71,15.76,0
7/13/2021,1.35,0.83,0
7/14/2021,0.83,17.22,0
7/15/2021,2.84,0.00,0
7/16/2021,0.00,0.00,0
7/17/2021,0.00,16.94,0
7/18/2021,12.15,0.00,0
7/19/2021,0.00,0.00,9.2
7/20/2021,0.00,13.33,0
7/21/2021,0.00,3.65,0
7/22/2021,3.65,0.00,0
7/23/2021,0.00,0.00,
7/24/2021,0.00,0.00,5.3
7/25/2021,0.00,0.00,0
7/26/2021,0.00,12.92,0
7/27/2021,0.00,0.00,0
7/28/2021,0.00,0.00,0
7/29/2021,0.00,0.00,
7/30/2021,0.00,12.67,0
7/31/2021,0.00,0.00,0
8/1/2021,0.00,0.00,1
8/2/2021,0.00,0.00,0
8/3/2021,0.00,0.00,6.3
8/4/2021,0.00,10.52,0
8/5/2021,0.00,6.53,0
8/6/2021,6.53,0.00,0
8/7/2021,0.00,0.00,0
8/8/2021,0.00,0.00,0
8/9/2021,0.00,0.00,0
8/10/2021,10.42,0.00,0
8/11/2021,0.00,0.00,0
8/12/2021,0.00,0.00,0
8/13/2021,0.00,0.00,0
8/14/2021,14.27,0.00,21.8
8/15/2021,14.29,0.00,0.4
8/16/2021,0.00,0.00,0
8/17/2021,0.00,0.00,0
8/18/2021,0.00,0.00,0
8/19/2021,0.00,0.00,0
8/20/2021,0.00,0.00,15.4
8/21/2021,0.00,0.00,0
8/22/2021,0.00,0.00,0.4
8/23/2021,0.00,0.00,0
8/24/2021,0.00,0.00,0
8/25/2021,0.00,0.00,0
8/26/2021,0.00,0.00,0
8/27/2021,0.00,0.00,0
8/28/2021,0.00,0.00,0
8/29/2021,0.00,0.00,17.2
8/30/2021,0.00,0.00,0
8/31/2021,0.00,18.96,8888
9/1/2021,4.67,0.00,0
9/2/2021,0.00,0.00,0
9/3/2021,0.00,10.67,0
9/4/2021,0.00,8.59,0
9/5/2021,8.59,0.00,0
9/6/2021,0.00,0.00,0
9/7/2021,0.00,16.49,0
9/8/2021,0.00,35.24,13.7
9/9/2021,0.00,54.00,2.8
9/10/2021,0.00,54.70,0
9/11/2021,0.00,54.70,0
9/12/2021,0.00,54.70,8.8
9/13/2021,0.00,54.70,0.2
9/14/2021,0.16,54.70,0
9/15/2021,14.04,54.70,14.8
9/16/2021,0.81,45.64,0
9/17/2021,1.01,54.40,10.6
9/18/2021,1.18,54.40,0
9/19/2021,0.00,54.00,0
9/20/2021,0.00,54.58,0
9/21/2021,2.51,57.00,24.4
9/22/2021,0.00,58.67,7.2
9/23/2021,0.00,59.00,0.2
9/24/2021,0.00,59.00,0.3
9/25/2021,0.00,59.00,0.3
9/26/2021,12.93,44.83,69
9/27/2021,32.42,39.09,10.5
9/28/2021,26.71,41.17,36
9/29/2021,0.06,57.84,0
9/30/2021,0.00,59.00,0
10/1/2021,0.00,59.00,0
10/2/2021,0.00,60.00,0
10/3/2021,0.00,60.00,0
10/4/2021,0.00,60.00,0
10/5/2021,0.00,60.00,8888
10/6/2021,0.00,60.00,0
10/7/2021,3.59,60.00,0
10/8/2021,0.00,58.00,0
10/9/2021,0.00,58.00,2.3
10/10/2021,0.00,58.25,0
10/11/2021,0.00,36.54,0
10/12/2021,0.00,34.29,0
10/13/2021,0.00,33.54,0
10/14/2021,0.00,59.00,0
10/15/2021,0.00,59.00,0
10/16/2021,0.00,59.00,0
10/17/2021,0.00,59.00,4.7
10/18/2021,3.10,59.00,7.7
10/19/2021,25.29,41.83,0.4
10/20/2021,12.68,52.07,0
10/21/2021,10.48,57.38,10.2
10/22/2021,12.77,21.86,15
10/23/2021,9.19,40.08,12.3
10/24/2021,0.00,54.00,9.3
10/25/2021,0.00,54.00,0
10/26/2021,2.28,54.38,34.3
10/27/2021,9.17,55.00,0.3
10/28/2021,10.25,26.31,1.7
10/29/2021,17.41,50.05,3.1
10/30/2021,14.65,52.88,8.4
10/31/2021,3.23,35.89,9.4
11/1/2021,1.19,44.03,32
11/2/2021,38.27,34.03,3.4
11/3/2021,51.32,26.18,3
11/4/2021,8.89,29.87,0
11/5/2021,117.03,17.69,110.8
11/6/2021,41.23,14.78,0
11/7/2021,23.64,14.65,3.6
11/8/2021,11.70,14.90,1.8
11/9/2021,8.99,14.73,0
11/10/2021,89.16,0.00,9.4
11/11/2021,30.13,17.84,42.4
11/12/2021,8.78,17.81,0.5
11/13/2021,11.78,35.90,30.6
11/14/2021,29.88,14.98,19.1
11/15/2021,30.04,17.72,0
11/16/2021,14.70,17.96,53.2
11/17/2021,17.96,0.00,0.6
11/18/2021,109.93,0.00,4
11/19/2021,71.64,0.00,0
11/20/2021,18.87,0.00,2.8
11/21/2021,18.94,17.84,0
11/22/2021,33.68,17.89,0.8
11/23/2021,17.89,17.77,4.1
11/24/2021,113.94,5.28,4.1
11/25/2021,34.50,12.37,0.4
11/26/2021,68.05,0.00,1.1
11/27/2021,13.19,10.76,15.9
11/28/2021,14.07,10.66,1.6
11/29/2021,27.21,0.00,0
11/30/2021,6.63,10.76,4.5
12/1/2021,7.45,11.89,1.8
12/2/2021,8.57,11.82,0
12/3/2021,18.45,8.04,3.2
12/4/2021,8.04,0.82,1.1
12/5/2021,54.20,0.00,3.1
12/6/2021,30.27,0.00,3.8
12/7/2021,30.45,0.00,6
12/8/2021,25.40,0.00,0.6
12/9/2021,50.40,11.69,0
12/10/2021,59.95,11.86,0
12/11/2021,36.16,11.71,3.7
12/12/2021,29.13,11.89,0.6
12/13/2021,22.36,11.82,0
12/14/2021,8.32,29.91,
12/15/2021,23.76,23.76,0.8
12/16/2021,10.48,7.00,12.8
12/17/2021,75.53,9.09,4
12/18/2021,69.40,5.71,3.3
12/19/2021,28.54,0.00,2.9
12/20/2021,15.36,11.78,0.9
12/21/2021,17.92,0.00,5.8
12/22/2021,22.01,14.83,3.1
12/23/2021,18.00,0.00,0
12/24/2021,39.80,0.00,22.2
12/25/2021,17.31,20.94,0
12/26/2021,43.70,0.00,11
12/27/2021,40.68,7.69,5.5
12/28/2021,111.31,0.00,56.8
12/29/2021,37.08,10.81,8.1
12/30/2021,56.38,0.00,0
12/31/2021,,0.00,11.5
1/1/2022,45.66,0.00,68.5
1/2/2022,38.30,0.00,0.2
1/3/2022,34.67,1.98,0
1/4/2022,13.58,11.86,0
1/5/2022,23.48,11.78,0
1/6/2022,7.91,0.00,2
1/7/2022,46.67,9.65,58.8
1/8/2022,68.46,0.00,0.4
1/9/2022,47.43,11.98,1.2
1/10/2022,87.78,0.00,4
1/11/2022,60.45,0.00,1
1/12/2022,126.65,0.00,23.5
1/13/2022,133.18,0.00,0.2
1/14/2022,42.13,0.00,16.3
1/15/2022,21.16,0.00,0
1/16/2022,21.22,6.05,10.5
1/17/2022,14.56,17.33,0.8
1/18/2022,42.90,0.29,60.5
1/19/2022,64.62,0.00,4.6
1/20/2022,82.29,0.00,50
1/21/2022,65.60,0.00,2.4
1/22/2022,106.14,0.00,11.6
1/23/2022,116.63,0.00,0
1/24/2022,58.96,0.00,0.8
1/25/2022,31.93,0.00,0
1/26/2022,87.30,0.00,1.7
1/27/2022,41.68,0.00,10.3
1/28/2022,121.58,7.49,0
1/29/2022,130.84,0.00,8888
1/30/2022,139.68,16.57,0
1/31/2022,99.49,0.03,0
2/1/2022,68.90,25.35,3.3
2/2/2022,50.07,21.46,7.6
2/3/2022,21.46,21.15,0
2/4/2022,16.20,26.11,0
2/5/2022,36.01,26.53,4.2
2/6/2022,26.53,0.00,24.9
2/7/2022,19.84,0.00,33
2/8/2022,19.88,7.44,4.4
2/9/2022,7.44,14.76,15.2
2/10/2022,69.65,0.00,5
2/11/2022,45.16,11.74,52.5
2/12/2022,26.84,0.00,10.2
2/13/2022,224.29,0.00,41.7
2/14/2022,103.70,0.00,3
2/15/2022,47.03,0.00,24.4
2/16/2022,36.73,14.80,0
2/17/2022,14.80,11.78,6.4
2/18/2022,17.04,0.00,32.7
2/19/2022,58.03,14.70,28.5
2/20/2022,14.70,8.87,8888
2/21/2022,8.87,0.00,0
2/22/2022,31.79,8.80,10.8
2/23/2022,14.10,25.42,0
2/24/2022,46.68,0.00,3
2/25/2022,0.00,21.10,3.4
2/26/2022,26.42,11.86,0
2/27/2022,135.05,16.60,2.6
2/28/2022,21.99,12.00,19.8
3/1/2022,12.00,11.71,13.2
3/2/2022,38.70,11.82,0
3/3/2022,180.74,11.74,18.5
3/4/2022,94.45,11.82,1.2
3/5/2022,50.64,11.82,0
3/6/2022,50.78,8.84,1
3/7/2022,64.74,21.68,0
3/8/2022,49.74,5.01,11.4
3/9/2022,16.26,0.00,29
3/10/2022,101.71,0.00,5.9
3/11/2022,177.37,36.66,0.5
3/12/2022,30.89,53.00,17.5
3/13/2022,0.00,53.00,5.6
3/14/2022,18.64,46.76,5.8
3/15/2022,132.84,41.53,20.9
3/16/2022,215.67,35.00,4.9
3/17/2022,32.08,45.12,0
3/18/2022,29.01,51.00,0
3/19/2022,97.68,51.00,0
3/20/2022,192.81,51.00,19.5
3/21/2022,79.92,51.00,4
