id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
1,32,JAWA BARAT,CITARUM,CIHERANG,JANUARI,183.0,MILIMETER,2015
2,32,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,217.0,MILIMETER,2015
3,32,JAWA BARAT,CITARUM,CIHERANG,MARET,261.0,MILIMETER,2015
4,32,JAWA BARAT,CITARUM,CIHERANG,APRIL,159.0,MILIMETER,2015
5,32,JAWA BARAT,CITARUM,CIHERANG,MEI,73.0,MILIMETER,2015
6,32,JAWA BARAT,CITARUM,CIHERANG,JUNI,32.0,MILIMETER,2015
7,32,JAWA BARAT,CITARUM,CIHERANG,JULI,34.0,MILIMETER,2015
8,32,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,3.0,MILIMETER,2015
9,32,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,16.0,MILIMETER,2015
10,32,JAWA BARAT,CITARUM,CIHERANG,OKTOBER,43.0,MILIMETER,2015
11,32,JAWA BARAT,CITARUM,CIHERANG,NOVEMBER,143.5,MILIMETER,2015
12,32,JAWA BARAT,CITARUM,CIHERANG,DESEMBER,136.5,MILIMETER,2015
13,32,JAWA BARAT,CITARUM,KAYU AMBON,JANUARI,270.0,MILIMETER,2015
14,32,JAWA BARAT,CITARUM,KAYU AMBON,FEBRUARI,272.5,MILIMETER,2015
15,32,JAWA BARAT,CITARUM,KAYU AMBON,MARET,174.0,MILIMETER,2015
16,32,JAWA BARAT,CITARUM,KAYU AMBON,APRIL,372.7,MILIMETER,2015
17,32,JAWA BARAT,CITARUM,KAYU AMBON,MEI,64.0,MILIMETER,2015
18,32,JAWA BARAT,CITARUM,KAYU AMBON,JUNI,51.0,MILIMETER,2015
19,32,JAWA BARAT,CITARUM,KAYU AMBON,JULI,0.0,MILIMETER,2015
20,32,JAWA BARAT,CITARUM,KAYU AMBON,AGUSTUS,0.0,MILIMETER,2015
21,32,JAWA BARAT,CITARUM,KAYU AMBON,SEPTEMBER,8.5,MILIMETER,2015
22,32,JAWA BARAT,CITARUM,KAYU AMBON,OKTOBER,17.0,MILIMETER,2015
23,32,JAWA BARAT,CITARUM,KAYU AMBON,NOVEMBER,355.5,MILIMETER,2015
24,32,JAWA BARAT,CITARUM,KAYU AMBON,DESEMBER,128.5,MILIMETER,2015
25,32,JAWA BARAT,CITARUM,CIHERANG,JANUARI,305.0,MILIMETER,2016
26,32,JAWA BARAT,CITARUM,CIHERANG,FEBRUARI,297.0,MILIMETER,2016
27,32,JAWA BARAT,CITARUM,CIHERANG,MARET,335.0,MILIMETER,2016
28,32,JAWA BARAT,CITARUM,CIHERANG,APRIL,400.0,MILIMETER,2016
29,32,JAWA BARAT,CITARUM,CIHERANG,MEI,261.0,MILIMETER,2016
30,32,JAWA BARAT,CITARUM,CIHERANG,JUNI,145.0,MILIMETER,2016
31,32,JAWA BARAT,CITARUM,CIHERANG,JULI,271.0,MILIMETER,2016
32,32,JAWA BARAT,CITARUM,CIHERANG,AGUSTUS,113.0,MILIMETER,2016
33,32,JAWA BARAT,CITARUM,CIHERANG,SEPTEMBER,375.0,MILIMETER,2016
