;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
1;106,15;32,60;31,67;20,62;11,33;15,89;38,42;0,00;4,67;0,00;1,19;7,45
2;104,53;23,36;14,82;56,27;0,30;16,03;0,00;0,00;0,00;0,00;38,27;8,57
3;29,17;18,74;79,16;39,30;11,66;5,61;9,63;0,00;0,00;0,00;51,32;18,45
4;44,03;86,94;0,00;10,33;11,20;0,00;0,00;0,00;0,00;0,00;8,89;8,04
5;48,07;22,96;79,91;18,69;6,87;0,00;0,00;0,00;8,59;0,00;117,03;54,20
6;71,51;10,18;8,34;13,06;23,04;6,96;0,00;6,53;0,00;0,00;41,23;30,27
7;64,15;38,04;37,39;4,14;9,64;0,00;6,65;0,00;0,00;3,59;23,64;30,45
8;67,52;28,64;80,31;32,38;24,69;0,00;0,00;0,00;0,00;0,00;11,70;25,40
9;28,10;4,78;87,66;69,75;19,39;19,23;1,45;0,00;0,00;0,00;8,99;50,40
10;11,54;23,95;68,75;24,32;8,86;7,71;15,60;10,42;0,00;0,00;89,16;59,95
11;207,73;125,61;57,02;18,66;0,00;0,85;0,00;0,00;0,00;0,00;30,13;36,16
12;62,95;107,69;34,38;32,95;2,86;0,83;7,71;0,00;0,00;0,00;8,78;29,13
13;20,03;521,56;90,87;17,03;0,00;30,99;1,35;0,00;0,00;0,00;11,78;22,36
14;72,61;26,06;70,53;82,24;0,00;5,17;0,83;14,27;0,16;0,00;29,88;8,32
15;12,03;226,95;31,67;22,29;0,00;8,07;2,84;14,29;14,04;0,00;30,04;23,76
16;16,74;85,76;26,10;65,43;0,00;19,46;0,00;0,00;0,81;0,00;14,70;10,48
17;53,05;53,97;66,61;116,74;0,00;5,89;0,00;0,00;1,01;0,00;17,96;75,53
18;31,14;152,61;156,65;0,00;27,06;9,80;12,15;0,00;1,18;3,10;109,93;69,40
19;28,82;99,28;46,68;24,30;22,78;39,06;0,00;0,00;0,00;25,29;71,64;28,54
20;28,94;27,74;97,15;15,17;15,22;37,54;0,00;0,00;0,00;12,68;18,87;15,36
21;21,15;22,25;50,18;7,54;25,28;14,12;0,00;0,00;2,51;10,48;18,94;17,92
22;0,00;22,29;44,61;0,17;29,00;18,86;3,65;0,00;0,00;12,77;33,68;22,01
23;197,75;8,94;67,37;3,62;0,00;23,64;0,00;0,00;0,00;9,19;17,89;18,00
24;25,64;46,85;67,42;0,00;27,60;28,45;0,00;0,00;0,00;0,00;113,94;39,80
25;151,33;40,00;90,00;0,00;13,46;33,31;0,00;0,00;0,00;0,00;34,50;17,31
26;74,61;33,75;88,23;10,17;28,06;0,00;0,00;0,00;12,93;2,28;68,05;43,70
27;97,63;67,74;48,70;8,89;8,09;0,00;0,00;0,00;32,42;9,17;13,19;40,68
28;148,75;40,19;37,47;16,87;5,42;23,87;0,00;0,00;26,71;10,25;14,07;111,31
29;105,32;;46,67;5,99;0,00;14,35;0,00;0,00;0,06;17,41;27,21;37,08
30;36,95;;40,00;12,98;7,82;4,79;0,00;0,00;0,00;14,65;6,63;56,38
31;32,47;;28,73;;0,00;;0,00;0,00;;3,23;;
